path	project	force_eval_energy_ha	gauxc_molecular_virial_fd	debug_sum_of_differences	program_ended
raw/spark/oh-skala-restart-fd/base_force/cp2k.out	OH_GPW_skala	-16.547000229713134	1.65259011925E-01 1.65271807183E-01 -1.27952573162E-05		yes
raw/spark/oh-skala-restart-fd/runs/base_energy/cp2k.out	OH_GPW_skala	-16.547000232182835			yes
raw/spark/oh-skala-restart-fd/runs/minus_0.0001/cp2k.out	OH_GPW_skala	-16.546999683872258			yes
raw/spark/oh-skala-restart-fd/runs/minus_0.0005/cp2k.out	OH_GPW_skala	-16.546997327693401			yes
raw/spark/oh-skala-restart-fd/runs/minus_0.001/cp2k.out	OH_GPW_skala	-16.546993970098974			yes
raw/spark/oh-skala-restart-fd/runs/plus_0.0001/cp2k.out	OH_GPW_skala	-16.547000750069092			yes
raw/spark/oh-skala-restart-fd/runs/plus_0.0005/cp2k.out	OH_GPW_skala	-16.547002699611784			yes
raw/spark/oh-skala-restart-fd/runs/plus_0.001/cp2k.out	OH_GPW_skala	-16.547004804794351			yes
raw/spark/skala-gauxc-gpu-timing-20260524/skala-gauxc-cpu-size-test-8/runs/h2o008_cpu_host_r0/cp2k.out	skala_h2o_8_cpu_host	-136.422844792325691			yes
raw/spark/skala-gauxc-gpu-timing-20260524/skala-gauxc-cpu-size-test/runs/h2o002_cpu_host_r0/cp2k.out	skala_h2o_2_cpu_host	-34.082510198759088			yes
raw/spark/skala-gauxc-gpu-timing-20260524/skala-gauxc-cpu-size-test/runs/h2o004_cpu_host_r0/cp2k.out	skala_h2o_4_cpu_host	-68.229252562681239			yes
raw/spark/skala-gauxc-gpu-timing-20260524/skala-gauxc-cpu-smoke-old/runs/h2o001_cpu_host_r0/cp2k.out	skala_h2o_1_cpu_host	-17.042112624941002			yes
raw/spark/skala-gauxc-gpu-timing-20260524/skala-gauxc-gpu-size-test-8/runs/h2o008_gpu_device_r0/cp2k.out	skala_h2o_8_gpu_device	-136.422844637485923			yes
raw/spark/skala-gauxc-gpu-timing-20260524/skala-gauxc-gpu-size-test/runs/h2o002_gpu_device_r0/cp2k.out	skala_h2o_2_gpu_device	-34.082510164071550			yes
raw/spark/skala-gauxc-gpu-timing-20260524/skala-gauxc-gpu-size-test/runs/h2o004_gpu_device_r0/cp2k.out	skala_h2o_4_gpu_device	-68.229252481313793			yes
raw/spark/skala-gauxc-gpu-timing-20260524/skala-gauxc-gpu-smoke-fine2/runs/h2o001_gpu_device_r0/cp2k.out	skala_h2o_1_gpu_device	-17.042112614262567			yes
raw/spark/skala-molopt-bench/runs/H2O_GAPW_AE_gauxc_pbe_base/cp2k.out	H2O_GAPW_AE_gauxc_pbe	-76.383607860235401	4.78054659644E-01 4.78054658242E-01 1.40185402175E-09		yes
raw/spark/skala-molopt-bench/runs/H2O_GAPW_AE_gauxc_pbe_force_minus/cp2k.out	H2O_GAPW_AE_gauxc_pbe	-76.383589373115541			yes
raw/spark/skala-molopt-bench/runs/H2O_GAPW_AE_gauxc_pbe_force_plus/cp2k.out	H2O_GAPW_AE_gauxc_pbe	-76.383624996774870			yes
raw/spark/skala-molopt-bench/runs/H2O_GAPW_AE_gauxc_pbe_virial_minus/cp2k.out	H2O_GAPW_AE_gauxc_pbe	-76.383603548244878			yes
raw/spark/skala-molopt-bench/runs/H2O_GAPW_AE_gauxc_pbe_virial_plus/cp2k.out	H2O_GAPW_AE_gauxc_pbe	-76.383612136388763			yes
raw/spark/skala-molopt-bench/runs/H2O_GAPW_AE_native_pbe_base/cp2k.out	H2O_GAPW_AE_native_pbe	-76.383578440735477			yes
raw/spark/skala-molopt-bench/runs/H2O_GAPW_AE_native_pbe_force_minus/cp2k.out	H2O_GAPW_AE_native_pbe	-76.383559839477215			yes
raw/spark/skala-molopt-bench/runs/H2O_GAPW_AE_native_pbe_force_plus/cp2k.out	H2O_GAPW_AE_native_pbe	-76.383595690413173			yes
raw/spark/skala-molopt-bench/runs/H2O_GAPW_AE_native_pbe_virial_minus/cp2k.out	H2O_GAPW_AE_native_pbe	-76.383574099702955			yes
raw/spark/skala-molopt-bench/runs/H2O_GAPW_AE_native_pbe_virial_plus/cp2k.out	H2O_GAPW_AE_native_pbe	-76.383582745878783			yes
raw/spark/skala-molopt-bench/runs/H2O_GAPW_AE_skala_base/cp2k.out	H2O_GAPW_AE_skala	-76.435665899191363	5.23281275093E-01 5.23273934435E-01 7.34065832708E-06		yes
raw/spark/skala-molopt-bench/runs/H2O_GAPW_AE_skala_force_minus/cp2k.out	H2O_GAPW_AE_skala	-76.435667283665609			yes
raw/spark/skala-molopt-bench/runs/H2O_GAPW_AE_skala_force_plus/cp2k.out	H2O_GAPW_AE_skala	-76.435663153271946			yes
raw/spark/skala-molopt-bench/runs/H2O_GAPW_AE_skala_virial_minus/cp2k.out	H2O_GAPW_AE_skala	-76.435666003063375			yes
raw/spark/skala-molopt-bench/runs/H2O_GAPW_AE_skala_virial_plus/cp2k.out	H2O_GAPW_AE_skala	-76.435665774786699			yes
raw/spark/skala-molopt-bench/runs/H2O_GPW_gauxc_pbe_base/cp2k.out	H2O_GPW_gauxc_pbe	-17.219952587460320	3.86019220285E-01 3.86019216982E-01 3.30218474787E-09		yes
raw/spark/skala-molopt-bench/runs/H2O_GPW_gauxc_pbe_force_minus/cp2k.out	H2O_GPW_gauxc_pbe	-17.219931246900426			yes
raw/spark/skala-molopt-bench/runs/H2O_GPW_gauxc_pbe_force_plus/cp2k.out	H2O_GPW_gauxc_pbe	-17.219972576270607			yes
raw/spark/skala-molopt-bench/runs/H2O_GPW_gauxc_pbe_virial_minus/cp2k.out	H2O_GPW_gauxc_pbe	-17.219947610567761			yes
