test	value	status	time_s
H2_SKALA_ENERGY.inp	-0.9793660681	OK	2.30
H2_SKALA_ENERGY_CHUNKED.inp	-0.9793660681	OK	2.16
H2_NATIVE_SKALA_GPW.inp	-0.976732567	OK	5.75
H2_NATIVE_SKALA_GPW_FORCE.inp	0.000303114066	OK	3.00
H2O_NATIVE_SKALA_GPW.inp:E_total	-17.06748157	OK	6.42
H2O_NATIVE_SKALA_GPW.inp:SKALA_GPW_feature_electrons	8.000087041	OK	6.42
H2O_NATIVE_SKALA_GPW.inp:SKALA_GPW_feature_spin_moment	-	OK	6.42
OH_NATIVE_SKALA_GPW_UKS.inp:E_total	-16.40820053	OK	5.53
OH_NATIVE_SKALA_GPW_UKS.inp:SKALA_GPW_feature_electrons	7.000087026	OK	5.53
OH_NATIVE_SKALA_GPW_UKS.inp:SKALA_GPW_feature_spin_moment	1.000012432	OK	5.53
NE4_NATIVE_SKALA_GPW.inp:E_total	-139.3502416	OK	3.62
NE4_NATIVE_SKALA_GPW.inp:SKALA_GPW_feature_electrons	31.99730835	OK	3.62
NE4_NATIVE_SKALA_GPW.inp:SKALA_GPW_feature_spin_moment	-	OK	3.62
NE4_NATIVE_SKALA_GPW.inp:SKALA_GPW_feature_weight_sum	574.8501331	OK	3.62
AR4_NATIVE_SKALA_GPW.inp:E_total	-84.34478122	OK	4.72
AR4_NATIVE_SKALA_GPW.inp:SKALA_GPW_feature_electrons	31.99999996	OK	4.72
AR4_NATIVE_SKALA_GPW.inp:SKALA_GPW_feature_spin_moment	-	OK	4.72
AR4_NATIVE_SKALA_GPW.inp:SKALA_GPW_feature_weight_sum	1004.671808	OK	4.72
AR4_NATIVE_SKALA_GPW_WRAPPED.inp:E_total	-84.34477949	OK	4.79
AR4_NATIVE_SKALA_GPW_WRAPPED.inp:SKALA_GPW_feature_electrons	31.99999996	OK	4.79
AR4_NATIVE_SKALA_GPW_WRAPPED.inp:SKALA_GPW_feature_spin_moment	-	OK	4.79
AR4_NATIVE_SKALA_GPW_WRAPPED.inp:SKALA_GPW_feature_weight_sum	1004.671808	OK	4.79
H2O_NATIVE_SKALA_GPW_WRAPPED.inp:E_total	-17.05194598	OK	6.17
H2O_NATIVE_SKALA_GPW_WRAPPED.inp:SKALA_GPW_feature_electrons	7.999912803	OK	6.17
H2O_NATIVE_SKALA_GPW_WRAPPED.inp:SKALA_GPW_feature_spin_moment	-	OK	6.17
H2O_NATIVE_SKALA_GPW_WRAPPED.inp:SKALA_GPW_feature_weight_sum	1457.64027	OK	6.17
OH_NATIVE_SKALA_GPW_UKS_WRAPPED.inp:E_total	-16.3976717	OK	5.83
OH_NATIVE_SKALA_GPW_UKS_WRAPPED.inp:SKALA_GPW_feature_electrons	7.000000092	OK	5.83
OH_NATIVE_SKALA_GPW_UKS_WRAPPED.inp:SKALA_GPW_feature_spin_moment	1.000000013	OK	5.83
OH_NATIVE_SKALA_GPW_UKS_WRAPPED.inp:SKALA_GPW_feature_weight_sum	1457.64027	OK	5.83
H2_GAPW_SKALA_ENERGY.inp	-0.9746378315	OK	2.23
H2_SKALA_CDFT.inp	0.2165576473	OK	3.51
H2_GAPW_SKALA_CDFT.inp	0.2174177578	OK	3.52
H2_SKALA_CDFT_CI.inp	-0.7037517464	OK	5.90
H2_PBE_CDFT_REFERENCE.inp:E_total	-1.157232743	OK	1.58
H2_PBE_CDFT_REFERENCE.inp:M071	0.197625731	OK	1.58
H2_ONEDFT_PBE_CDFT.inp:E_total	-1.157229554	OK	2.45
H2_ONEDFT_PBE_CDFT.inp:M071	0.1976240706	OK	2.45
H2_PBE_CDFT_CI_REFERENCE.inp:M073	345.3643291	OK	2.58
H2_PBE_CDFT_CI_REFERENCE.inp:M077	-1.162951818	OK	2.58
H2_ONEDFT_PBE_CDFT_CI_NGROUPS.inp:M073	345.3254374	OK	4.22
H2_ONEDFT_PBE_CDFT_CI_NGROUPS.inp:M077	-1.16294823	OK	4.22
OH_ONEDFT_PBE_UKS.inp	-16.54158175	OK	8.31
H2_ONEDFT_PBE_FORCE_DEBUG.inp	-	OK	1.98
NH3_ONEDFT_PBE_FORCE_DEBUG.inp	4.25e-06	OK	6.89
