system	method	path	returncode	energy_ha	force_fd_diff_ha_bohr	virial_fd_diff_ha	gauxc_xc_virial_diff_ha
H2O_GTH	GPWTYPE	gauxc_pbe	0	-17.219952349003286	-4.6902640458632017e-07	-1.4308240490687463e-07	
H2O_GTH	GPWTYPE	native_pbe	0	-17.22006503435723	-4.7680233720460985e-07	-0.00016741608982530007	
H2O_GTH	GPWTYPE	skala	0	-17.232086720271163	-2.4084429480018127e-06	-1.238996747902725e-05	
H2O_GTH	PAW	gauxc_pbe	0	-17.81034234509753	-2.672363267203215e-07	1.4102159192064256e-06	
H2O_GTH	PAW	native_pbe	0	-17.21988690958798	-3.482033095660725e-07	-1.688890147011346e-06	
H2_GTH	GPWTYPE	gauxc_pbe	0	-1.165609843077748	-7.597554067461862e-07	3.411105670061282e-09	
H2_GTH	GPWTYPE	native_pbe	0	-1.16561001717766	-7.614208895065713e-07	2.0200386667210135e-09	
H2_GTH	GPWTYPE	skala	0	-1.173260783652178	-6.438374057732375e-07	3.2091362426632042e-06	
H2_GTH	PAW	gauxc_pbe	0	-1.249255800885095	-5.150733123626683e-07	-1.3369893525627674e-08	
H2_GTH	PAW	native_pbe	0	-1.165605343292119	-7.32514140656948e-07	-5.815206407990686e-09	
H2_GTH	PAW	skala	0	-1.173265150620657	-1.7113432663083336e-06	-3.018906896017949e-08	
NH3_GTH	GPWTYPE	gauxc_pbe	0	-11.738287133050408	-1.2281837721839217e-07	-2.0342396678772745e-07	
NH3_GTH	GPWTYPE	native_pbe	0	-11.738292896706682	-0.00021015682625915265	9.16603966654439e-05	
NH3_GTH	GPWTYPE	skala	0	-11.740669008252162	5.271088212091546e-08	6.447769639542338e-06	
NH3_GTH	PAW	gauxc_pbe	0	-12.121446397508523	-3.1233885766646097e-07	3.3741669664966167e-06	
NH3_GTH	PAW	native_pbe	0	-11.738228125387309	-2.2344708368710574e-06	1.6289736339426125e-06	
