nwater	natoms	profile	execution_space	mpi_ranks	omp_threads	devices	repeat	returncode	program_ended	wall_s	cp2k_total_s	ks_matrix_total_s	ks_matrix_calls	energy_ha	peak_host_rss_kib	gpu_baseline_mib	peak_gpu_memory_mib	peak_gpu_delta_mib	run_dir
1	3	cpu	HOST	1	10		0	0	1	3.6113570079905912	2.511	2.141	1	-17.04211262376447	2108484				/home/kuehne88/work/molecular-skala-paper-current/spark-current-original-models-fine-robust-150-30/runs/h2o001_cpu_r0
1	3	cpu	HOST	1	10		1	0	1	3.5990777290426195	2.506	2.144	1	-17.04211262376447	2135392				/home/kuehne88/work/molecular-skala-paper-current/spark-current-original-models-fine-robust-150-30/runs/h2o001_cpu_r1
1	3	cpu	HOST	1	10		2	0	1	3.7128601049771532	2.603	2.223	1	-17.04211262376447	2132116				/home/kuehne88/work/molecular-skala-paper-current/spark-current-original-models-fine-robust-150-30/runs/h2o001_cpu_r2
1	3	cpu	HOST	1	10		3	0	1	3.6457542380085215	2.534	2.169	1	-17.04211262376447	2118856				/home/kuehne88/work/molecular-skala-paper-current/spark-current-original-models-fine-robust-150-30/runs/h2o001_cpu_r3
1	3	gpu1	DEVICE	1	10	0	0	0	1	3.985514819039963	2.678	2.151	1	-17.042112614262575	2998836				/home/kuehne88/work/molecular-skala-paper-current/spark-current-original-models-fine-robust-150-30/runs/h2o001_gpu1_r0
1	3	gpu1	DEVICE	1	10	0	1	0	1	3.8757510390132666	2.66	2.162	1	-17.042112614262575	2992896				/home/kuehne88/work/molecular-skala-paper-current/spark-current-original-models-fine-robust-150-30/runs/h2o001_gpu1_r1
1	3	gpu1	DEVICE	1	10	0	2	0	1	4.03942389099393	2.693	2.189	1	-17.042112614262575	2992320				/home/kuehne88/work/molecular-skala-paper-current/spark-current-original-models-fine-robust-150-30/runs/h2o001_gpu1_r2
1	3	gpu1	DEVICE	1	10	0	3	0	1	3.856286042020656	2.622	2.106	1	-17.042112614262575	2992904				/home/kuehne88/work/molecular-skala-paper-current/spark-current-original-models-fine-robust-150-30/runs/h2o001_gpu1_r3
2	6	cpu	HOST	1	10		0	0	1	5.780962080927566	4.688	4.247	1	-34.08251019419882	3543880				/home/kuehne88/work/molecular-skala-paper-current/spark-current-original-models-fine-robust-150-30/runs/h2o002_cpu_r0
2	6	cpu	HOST	1	10		1	0	1	5.68083268601913	4.603	4.166	1	-34.08251019419882	3545360				/home/kuehne88/work/molecular-skala-paper-current/spark-current-original-models-fine-robust-150-30/runs/h2o002_cpu_r1
