nwater	natoms	profile	execution_space	mpi_ranks	omp_threads	devices	repeat	returncode	program_ended	wall_s	cp2k_total_s	ks_matrix_total_s	ks_matrix_calls	energy_ha	peak_host_rss_kib	gpu_baseline_mib	peak_gpu_memory_mib	peak_gpu_delta_mib	run_dir
1	3	cpu	HOST	1	10		0	0	1	3.3289723279885948	2.25	1.874	1	-17.042112623828245	2118772				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o001_cpu_r0
1	3	cpu	HOST	1	10		1	0	1	3.371615038951859	2.243	1.886	1	-17.042112623828245	2034464				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o001_cpu_r1
1	3	cpu	HOST	1	10		2	0	1	3.3865552940405905	2.322	1.926	1	-17.042112623828245	2032840				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o001_cpu_r2
1	3	cpu	HOST	1	10		3	0	1	3.33213839889504	2.217	1.852	1	-17.042112623828245	2113756				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o001_cpu_r3
1	3	gpu1	DEVICE	1	10	0	0	0	1	3.623613061965443	2.391	1.894	1	-17.042112611455902	2985180				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o001_gpu1_r0
1	3	gpu1	DEVICE	1	10	0	1	0	1	3.719065275043249	2.463	1.974	1	-17.042112611455902	2978376				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o001_gpu1_r1
1	3	gpu1	DEVICE	1	10	0	2	0	1	3.684153077076189	2.413	1.993	1	-17.042112611455902	2980008				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o001_gpu1_r2
1	3	gpu1	DEVICE	1	10	0	3	0	1	3.8599279701011255	2.542	2.039	1	-17.042112611455902	2988236				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o001_gpu1_r3
2	6	cpu	HOST	1	10		0	0	1	5.648369217989966	4.549	4.083	1	-34.08251019375822	3508936				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o002_cpu_r0
2	6	cpu	HOST	1	10		1	0	1	5.659002606058493	4.573	4.067	1	-34.08251019375822	3509132				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o002_cpu_r1
2	6	cpu	HOST	1	10		2	0	1	5.541567831998691	4.437	3.949	1	-34.08251019375822	3505720				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o002_cpu_r2
2	6	cpu	HOST	1	10		3	0	1	5.451769690960646	4.324	3.883	1	-34.08251019375822	3506788				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o002_cpu_r3
2	6	gpu1	DEVICE	1	10	0	0	0	1	4.628279873053543	3.283	2.64	1	-34.08251016433651	3102096				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o002_gpu1_r0
2	6	gpu1	DEVICE	1	10	0	1	0	1	4.760755684110336	3.329	2.716	1	-34.08251016433651	3102000				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o002_gpu1_r1
2	6	gpu1	DEVICE	1	10	0	2	0	1	4.4846900519914925	3.195	2.629	1	-34.08251016433651	3070148				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o002_gpu1_r2
2	6	gpu1	DEVICE	1	10	0	3	0	1	4.709977472084574	3.324	2.718	1	-34.08251016433651	3101956				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o002_gpu1_r3
4	12	cpu	HOST	1	10		0	0	1	13.355185588938184	12.102	11.476	1	-68.22925255370919	6049508				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o004_cpu_r0
4	12	cpu	HOST	1	10		1	0	1	13.41742847894784	12.233	11.616	1	-68.22925255370919	6048060				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o004_cpu_r1
4	12	cpu	HOST	1	10		2	0	1	12.782437138957903	11.62	11.027	1	-68.22925255370919	5882184				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o004_cpu_r2
4	12	cpu	HOST	1	10		3	0	1	13.442636242019944	12.221	11.627	1	-68.22925255370919	6047784				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o004_cpu_r3
4	12	gpu1	DEVICE	1	10	0	0	0	1	5.656569166923873	4.254	3.56	1	-68.22925247820189	3138596				/home/kuehne88/work/molecular-skala-paper-current/benchmarks/skala-gauxc-current-fine-robust-150-30-rev1-master21ef8686/runs/h2o004_gpu1_r0
