nwater	natoms	profile	execution_space	mpi_ranks	omp_threads	devices	repeat	returncode	program_ended	wall_s	cp2k_total_s	ks_matrix_total_s	ks_matrix_calls	energy_ha	peak_host_rss_kib	gpu_baseline_mib	peak_gpu_memory_mib	peak_gpu_delta_mib	run_dir
1	3	cpu	HOST	1	10		0	0	1	5.2444016999797896	2.542	2.002	1	-17.042112623828245	1993248				/home/kuehne88/work/molecular-skala-paper-current/spark-current-fine-robust-150-30/runs/h2o001_cpu_r0
1	3	cpu	HOST	1	10		1	0	1	3.3988052470376715	2.288	1.95	1	-17.042112623828245	2033088				/home/kuehne88/work/molecular-skala-paper-current/spark-current-fine-robust-150-30/runs/h2o001_cpu_r1
1	3	cpu	HOST	1	10		2	0	1	3.287787407054566	2.176	1.871	1	-17.042112623828245	2039856				/home/kuehne88/work/molecular-skala-paper-current/spark-current-fine-robust-150-30/runs/h2o001_cpu_r2
1	3	cpu	HOST	1	10		3	0	1	3.436412930022925	2.344	1.954	1	-17.042112623828245	2033480				/home/kuehne88/work/molecular-skala-paper-current/spark-current-fine-robust-150-30/runs/h2o001_cpu_r3
1	3	gpu1	DEVICE	1	10	0	0	0	1	4.064611576963216	2.814	2.315	1	-17.042112611455902	3022652				/home/kuehne88/work/molecular-skala-paper-current/spark-current-fine-robust-150-30/runs/h2o001_gpu1_r0
1	3	gpu1	DEVICE	1	10	0	1	0	1	3.7297998750582337	2.455	1.933	1	-17.042112611455902	2984188				/home/kuehne88/work/molecular-skala-paper-current/spark-current-fine-robust-150-30/runs/h2o001_gpu1_r1
1	3	gpu1	DEVICE	1	10	0	2	0	1	3.826375794946216	2.483	1.999	1	-17.042112611455902	2972332				/home/kuehne88/work/molecular-skala-paper-current/spark-current-fine-robust-150-30/runs/h2o001_gpu1_r2
1	3	gpu1	DEVICE	1	10	0	3	0	1	3.6416431351099163	2.373	1.878	1	-17.042112611455902	3011268				/home/kuehne88/work/molecular-skala-paper-current/spark-current-fine-robust-150-30/runs/h2o001_gpu1_r3
2	6	cpu	HOST	1	10		0	0	1	5.4004258828936145	4.335	3.874	1	-34.08251019375822	3505668				/home/kuehne88/work/molecular-skala-paper-current/spark-current-fine-robust-150-30/runs/h2o002_cpu_r0
2	6	cpu	HOST	1	10		1	0	1	5.534068409935571	4.417	3.927	1	-34.08251019375822	3504740				/home/kuehne88/work/molecular-skala-paper-current/spark-current-fine-robust-150-30/runs/h2o002_cpu_r1
