nwater	natoms	mode	repeat	omp_threads	returncode	program_ended	wall_s	cp2k_total_s	ks_matrix_total_s	ks_matrix_calls	energy_ha	run_dir
1	3	cpu_host	0	10	0	1	4.0	3.325	3.207	1	-17.042112624953667	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o001_cpu_host_r0
1	3	cpu_host	1	10	0	1	4.07	3.396	3.263	1	-17.042112624953667	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o001_cpu_host_r1
1	3	cpu_host	2	10	0	1	4.07	3.405	3.266	1	-17.042112624953667	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o001_cpu_host_r2
1	3	cpu_host	3	10	0	1	3.88	3.221	3.088	1	-17.042112624953667	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o001_cpu_host_r3
1	3	gpu_device	0	10	0	1	3.03	2.026	1.876	1	-17.042112614262567	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o001_gpu_device_r0
1	3	gpu_device	1	10	0	1	2.95	2.015	1.885	1	-17.042112614262567	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o001_gpu_device_r1
1	3	gpu_device	2	10	0	1	2.86	1.926	1.806	1	-17.042112614262567	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o001_gpu_device_r2
1	3	gpu_device	3	10	0	1	2.87	1.921	1.808	1	-17.042112614262567	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o001_gpu_device_r3
2	6	cpu_host	0	10	0	1	7.22	6.555	6.315	1	-34.08251019875908	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o002_cpu_host_r0
2	6	cpu_host	1	10	0	1	7.18	6.499	6.239	1	-34.08251019875908	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o002_cpu_host_r1
2	6	cpu_host	2	10	0	1	7.55	6.869	6.601	1	-34.08251019875908	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o002_cpu_host_r2
2	6	cpu_host	3	10	0	1	7.42	6.75	6.5	1	-34.08251019875908	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o002_cpu_host_r3
2	6	gpu_device	0	10	0	1	3.85	2.848	2.583	1	-34.08251016407155	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o002_gpu_device_r0
2	6	gpu_device	1	10	0	1	3.86	2.893	2.624	1	-34.08251016407155	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o002_gpu_device_r1
2	6	gpu_device	2	10	0	1	3.77	2.772	2.52	1	-34.08251016407155	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o002_gpu_device_r2
2	6	gpu_device	3	10	0	1	3.71	2.759	2.506	1	-34.08251016407155	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o002_gpu_device_r3
4	12	cpu_host	0	10	0	1	16.59	15.923	15.569	1	-68.22925256268124	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o004_cpu_host_r0
4	12	cpu_host	1	10	0	1	16.68	15.977	15.629	1	-68.22925256268124	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o004_cpu_host_r1
4	12	cpu_host	2	10	0	1	16.82	16.137	15.784	1	-68.22925256268124	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o004_cpu_host_r2
4	12	cpu_host	3	10	0	1	16.1	15.404	15.047	1	-68.22925256268124	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o004_cpu_host_r3
4	12	gpu_device	0	10	0	1	4.94	3.898	3.543	1	-68.2292524813138	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o004_gpu_device_r0
4	12	gpu_device	1	10	0	1	4.91	3.918	3.549	1	-68.2292524813138	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o004_gpu_device_r1
4	12	gpu_device	2	10	0	1	4.89	3.91	3.539	1	-68.2292524813138	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o004_gpu_device_r2
4	12	gpu_device	3	10	0	1	4.93	3.914	3.57	1	-68.2292524813138	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o004_gpu_device_r3
8	24	cpu_host	0	10	0	1	49.4	48.732	48.324	1	-136.4228447923257	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o008_cpu_host_r0
8	24	cpu_host	1	10	0	1	47.96	47.231	46.854	1	-136.4228447923257	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o008_cpu_host_r1
8	24	cpu_host	2	10	0	1	48.94	48.205	47.816	1	-136.4228447923257	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o008_cpu_host_r2
8	24	cpu_host	3	10	0	1	49.63	48.911	48.52	1	-136.4228447923257	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o008_cpu_host_r3
8	24	gpu_device	0	10	0	1	12.58	11.46	11.062	1	-136.42284463748592	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o008_gpu_device_r0
8	24	gpu_device	1	10	0	1	12.43	11.422	11.028	1	-136.42284463748592	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o008_gpu_device_r1
8	24	gpu_device	2	10	0	1	12.35	11.309	10.915	1	-136.42284463748592	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o008_gpu_device_r2
8	24	gpu_device	3	10	0	1	12.41	11.36	10.958	1	-136.42284463748595	/home/kuehne88/skala-gauxc-gpu-timing-20260613-master-fine-robust/runs/h2o008_gpu_device_r3
